Date,Year,Month,Temperature Average (C)
1974-01-01,1974,1,
1974-02-01,1974,2,
1974-03-01,1974,3,
1974-04-01,1974,4,
1974-05-01,1974,5,-3.5
1974-06-01,1974,6,-3.2
1974-07-01,1974,7,-5.8
1974-08-01,1974,8,-5.8
1974-09-01,1974,9,-6.5
1974-10-01,1974,10,-1.7
1974-11-01,1974,11,0
1974-12-01,1974,12,1.1
1975-01-01,1975,1,3
1975-02-01,1975,2,2
1975-03-01,1975,3,1
1975-04-01,1975,4,1
1975-05-01,1975,5,-3
1975-06-01,1975,6,-6
1975-07-01,1975,7,-7
1975-08-01,1975,8,-8
1975-09-01,1975,9,-4
1975-10-01,1975,10,-1
1975-11-01,1975,11,-2
1975-12-01,1975,12,0
1976-01-01,1976,1,1
1976-02-01,1976,2,2
1976-03-01,1976,3,0
1976-04-01,1976,4,-1
1976-05-01,1976,5,-5
1976-06-01,1976,6,-9
1976-07-01,1976,7,-12
1976-08-01,1976,8,-16
1976-09-01,1976,9,-9
1976-10-01,1976,10,-4
1976-11-01,1976,11,0
1976-12-01,1976,12,1
1977-01-01,1977,1,2
1977-02-01,1977,2,1
1977-03-01,1977,3,1
1977-04-01,1977,4,-1
1977-05-01,1977,5,-5
1977-06-01,1977,6,-7
1977-07-01,1977,7,-14
1977-08-01,1977,8,
1977-09-01,1977,9,-11.4
1977-10-01,1977,10,-8.9
1977-11-01,1977,11,-2.2
1977-12-01,1977,12,0
1978-01-01,1978,1,1
1978-02-01,1978,2,0.7
1978-03-01,1978,3,-0.6
1978-04-01,1978,4,-3
1978-05-01,1978,5,-2.5
1978-06-01,1978,6,-4.9
1978-07-01,1978,7,-14.9
1978-08-01,1978,8,-11.9
1978-09-01,1978,9,-5.8
1978-10-01,1978,10,-4
1978-11-01,1978,11,-1.9
1978-12-01,1978,12,1
1979-01-01,1979,1,2
1979-02-01,1979,2,2
1979-03-01,1979,3,1
1979-04-01,1979,4,-1
1979-05-01,1979,5,-5
1979-06-01,1979,6,-6
1979-07-01,1979,7,-7
1979-08-01,1979,8,-7
1979-09-01,1979,9,-5
1979-10-01,1979,10,-4
1979-11-01,1979,11,0
1979-12-01,1979,12,1.7
1980-01-01,1980,1,1.9
1980-02-01,1980,2,2.2
1980-03-01,1980,3,-1.5
1980-04-01,1980,4,-4.7
1980-05-01,1980,5,-3.7
1980-06-01,1980,6,-9.3
1980-07-01,1980,7,-12.6
1980-08-01,1980,8,-13.7
1980-09-01,1980,9,-7.2
1980-10-01,1980,10,-4
1980-11-01,1980,11,-2
1980-12-01,1980,12,0.5
1981-01-01,1981,1,1.6
1981-02-01,1981,2,1.1
1981-03-01,1981,3,0
1981-04-01,1981,4,-1.8
1981-05-01,1981,5,-5.2
1981-06-01,1981,6,-6.3
1981-07-01,1981,7,-6.8
1981-08-01,1981,8,-8.8
1981-09-01,1981,9,-8.3
1981-10-01,1981,10,-5.3
1981-11-01,1981,11,-2.4
1981-12-01,1981,12,-0.8
1982-01-01,1982,1,-0.2
1982-02-01,1982,2,
1982-03-01,1982,3,
1982-04-01,1982,4,
1982-05-01,1982,5,-0.5
1982-06-01,1982,6,-0.8
1982-07-01,1982,7,
1982-08-01,1982,8,-7.9
1982-09-01,1982,9,-7.9
1982-10-01,1982,10,-5.5
1982-11-01,1982,11,-2
1982-12-01,1982,12,2.1
1983-01-01,1983,1,2.8
1983-02-01,1983,2,1.2
1983-03-01,1983,3,0
1983-04-01,1983,4,-1.2
1983-05-01,1983,5,-2.1
1983-06-01,1983,6,-3
1983-07-01,1983,7,-2.9
1983-08-01,1983,8,-4.3
1983-09-01,1983,9,-4.1
1983-10-01,1983,10,-2.8
1983-11-01,1983,11,0.3
1983-12-01,1983,12,1.8
1984-01-01,1984,1,2.9
1984-02-01,1984,2,2.8
1984-03-01,1984,3,1.4
1984-04-01,1984,4,-1.7
1984-05-01,1984,5,-3.3
1984-06-01,1984,6,-6.7
1984-07-01,1984,7,-7.4
1984-08-01,1984,8,-6.7
1984-09-01,1984,9,-3.4
1984-10-01,1984,10,-3.3
1984-11-01,1984,11,0.9
1984-12-01,1984,12,3.7
1985-01-01,1985,1,4.2
1985-02-01,1985,2,3.7
1985-03-01,1985,3,0.9
1985-04-01,1985,4,0
1985-05-01,1985,5,-4.3
1985-06-01,1985,6,-3.7
1985-07-01,1985,7,-5.9
1985-08-01,1985,8,-5.9
1985-09-01,1985,9,-1.4
1985-10-01,1985,10,-0.7
1985-11-01,1985,11,2.5
1985-12-01,1985,12,3.7
1986-01-01,1986,1,5.2
1986-02-01,1986,2,3.9
1986-03-01,1986,3,3.3
1986-04-01,1986,4,-0.4
1986-05-01,1986,5,-4.7
1986-06-01,1986,6,-4.5
1986-07-01,1986,7,-6.9
1986-08-01,1986,8,-9.1
1986-09-01,1986,9,-9
1986-10-01,1986,10,-2.8
1986-11-01,1986,11,
1986-12-01,1986,12,
1987-01-01,1987,1,
1987-02-01,1987,2,1.9
1987-03-01,1987,3,
1987-04-01,1987,4,-1.9
1987-05-01,1987,5,-2.8
1987-06-01,1987,6,-7.1
1987-07-01,1987,7,
1987-08-01,1987,8,-7.8
1987-09-01,1987,9,-9.9
1987-10-01,1987,10,-1.4
1987-11-01,1987,11,0.8
1987-12-01,1987,12,1.8
1988-01-01,1988,1,2.3
1988-02-01,1988,2,2.7
1988-03-01,1988,3,1.2
1988-04-01,1988,4,-0.1
1988-05-01,1988,5,-1.3
1988-06-01,1988,6,-2.9
1988-07-01,1988,7,-3
1988-08-01,1988,8,-6.8
1988-09-01,1988,9,-2.2
1988-10-01,1988,10,0
1988-11-01,1988,11,
1988-12-01,1988,12,
1989-01-01,1989,1,
1989-02-01,1989,2,4.1
1989-03-01,1989,3,
